id,file,pack,description,source_sheet,grid_index,recommended_usage
thank_you_bow,02_emotion_pack/03_thank_you_bow.png,02_emotion_pack,Emotion: thank you / polite bow,cute_seal_mascot_sticker_sheet.png,3,"Mobile app, web dashboard, kiosk UI, empty state, notification, payment and QR flow"
thinking,02_emotion_pack/04_thinking.png,02_emotion_pack,Emotion: thinking,cute_seal_mascot_sticker_sheet.png,4,"Mobile app, web dashboard, kiosk UI, empty state, notification, payment and QR flow"
confused,02_emotion_pack/05_confused.png,02_emotion_pack,Emotion: confused,cute_seal_mascot_sticker_sheet.png,5,"Mobile app, web dashboard, kiosk UI, empty state, notification, payment and QR flow"
sleeping,02_emotion_pack/06_sleeping.png,02_emotion_pack,Emotion: sleeping,cute_seal_mascot_sticker_sheet.png,6,"Mobile app, web dashboard, kiosk UI, empty state, notification, payment and QR flow"
waiting,02_emotion_pack/07_waiting.png,02_emotion_pack,Emotion: waiting / checking time,cute_seal_mascot_sticker_sheet.png,7,"Mobile app, web dashboard, kiosk UI, empty state, notification, payment and QR flow"
running,02_emotion_pack/08_running.png,02_emotion_pack,Emotion/action: running,cute_seal_mascot_sticker_sheet.png,8,"Mobile app, web dashboard, kiosk UI, empty state, notification, payment and QR flow"
celebrating,02_emotion_pack/09_celebrating.png,02_emotion_pack,Emotion: celebrating,cute_seal_mascot_sticker_sheet.png,9,"Mobile app, web dashboard, kiosk UI, empty state, notification, payment and QR flow"
sad,02_emotion_pack/10_sad.png,02_emotion_pack,Emotion: sad,cute_seal_mascot_sticker_sheet.png,10,"Mobile app, web dashboard, kiosk UI, empty state, notification, payment and QR flow"
shocked,02_emotion_pack/11_shocked.png,02_emotion_pack,Emotion: shocked,cute_seal_mascot_sticker_sheet.png,11,"Mobile app, web dashboard, kiosk UI, empty state, notification, payment and QR flow"
proud,02_emotion_pack/12_proud.png,02_emotion_pack,Emotion: proud,cute_seal_mascot_sticker_sheet.png,12,"Mobile app, web dashboard, kiosk UI, empty state, notification, payment and QR flow"
pointing_left,03_action_pack_navigation/01_pointing_left.png,03_action_pack_navigation,Action: pointing left,chubby_mascots_with_fun_props.png,1,"Mobile app, web dashboard, kiosk UI, empty state, notification, payment and QR flow"
pointing_right,03_action_pack_navigation/02_pointing_right.png,03_action_pack_navigation,Action: pointing right,chubby_mascots_with_fun_props.png,2,"Mobile app, web dashboard, kiosk UI, empty state, notification, payment and QR flow"
pointing_up,03_action_pack_navigation/03_pointing_up.png,03_action_pack_navigation,Action: pointing up,chubby_mascots_with_fun_props.png,3,"Mobile app, web dashboard, kiosk UI, empty state, notification, payment and QR flow"
pointing_down,03_action_pack_navigation/04_pointing_down.png,03_action_pack_navigation,Action: pointing down,chubby_mascots_with_fun_props.png,4,"Mobile app, web dashboard, kiosk UI, empty state, notification, payment and QR flow"
holding_phone,03_action_pack_navigation/05_holding_phone.png,03_action_pack_navigation,Action: holding phone,chubby_mascots_with_fun_props.png,5,"Mobile app, web dashboard, kiosk UI, empty state, notification, payment and QR flow"
holding_qr_card,03_action_pack_navigation/06_holding_qr_card.png,03_action_pack_navigation,Action: holding QR card,chubby_mascots_with_fun_props.png,6,"Mobile app, web dashboard, kiosk UI, empty state, notification, payment and QR flow"
holding_voucher,03_action_pack_navigation/07_holding_voucher.png,03_action_pack_navigation,Action: holding voucher/coupon,chubby_mascots_with_fun_props.png,7,"Mobile app, web dashboard, kiosk UI, empty state, notification, payment and QR flow"
holding_map,03_action_pack_navigation/08_holding_map.png,03_action_pack_navigation,Action: holding map,chubby_mascots_with_fun_props.png,8,"Mobile app, web dashboard, kiosk UI, empty state, notification, payment and QR flow"
holding_wallet,04_action_pack_laundry_payment/01_holding_wallet.png,04_action_pack_laundry_payment,Action: holding wallet,laundry_buddies_in_playful_poses.png,1,"Mobile app, web dashboard, kiosk UI, empty state, notification, payment and QR flow"
holding_coin,04_action_pack_laundry_payment/02_holding_coin.png,04_action_pack_laundry_payment,Action: holding coin,laundry_buddies_in_playful_poses.png,2,"Mobile app, web dashboard, kiosk UI, empty state, notification, payment and QR flow"
holding_laundry_basket,04_action_pack_laundry_payment/03_holding_laundry_basket.png,04_action_pack_laundry_payment,Action: holding laundry basket,laundry_buddies_in_playful_poses.png,3,"Mobile app, web dashboard, kiosk UI, empty state, notification, payment and QR flow"
holding_tshirt,04_action_pack_laundry_payment/04_holding_tshirt.png,04_action_pack_laundry_payment,Action: holding T-shirt,laundry_buddies_in_playful_poses.png,4,"Mobile app, web dashboard, kiosk UI, empty state, notification, payment and QR flow"
holding_towel,04_action_pack_laundry_payment/05_holding_towel.png,04_action_pack_laundry_payment,Action: holding towel,laundry_buddies_in_playful_poses.png,5,"Mobile app, web dashboard, kiosk UI, empty state, notification, payment and QR flow"
beside_washer,04_action_pack_laundry_payment/06_beside_washer.png,04_action_pack_laundry_payment,Action: beside washing machine,laundry_buddies_in_playful_poses.png,6,"Mobile app, web dashboard, kiosk UI, empty state, notification, payment and QR flow"
beside_dryer,04_action_pack_laundry_payment/07_beside_dryer.png,04_action_pack_laundry_payment,Action: beside dryer,laundry_buddies_in_playful_poses.png,7,"Mobile app, web dashboard, kiosk UI, empty state, notification, payment and QR flow"
carrying_folded_laundry,04_action_pack_laundry_payment/08_carrying_folded_laundry.png,04_action_pack_laundry_payment,Action: carrying folded laundry,laundry_buddies_in_playful_poses.png,8,"Mobile app, web dashboard, kiosk UI, empty state, notification, payment and QR flow"
registration_welcome_waving,05_app_flow_registration_permissions/01_registration_welcome_waving.png,05_app_flow_registration_permissions,"Registration: welcome screen, mascot waving",cute_seal_mascot_emoji_set.png,1,"Mobile app, web dashboard, kiosk UI, empty state, notification, payment and QR flow"
signup_success_clean_clothes,05_app_flow_registration_permissions/02_signup_success_clean_clothes.png,05_app_flow_registration_permissions,"Registration: sign up success, holding clean clothes",cute_seal_mascot_emoji_set.png,2,"Mobile app, web dashboard, kiosk UI, empty state, notification, payment and QR flow"
otp_verification_phone,05_app_flow_registration_permissions/03_otp_verification_phone.png,05_app_flow_registration_permissions,"Registration: OTP verification, holding phone",cute_seal_mascot_emoji_set.png,3,"Mobile app, web dashboard, kiosk UI, empty state, notification, payment and QR flow"
otp_wrong_confused_phone,05_app_flow_registration_permissions/04_otp_wrong_confused_phone.png,05_app_flow_registration_permissions,"Registration: OTP wrong, confused with phone",cute_seal_mascot_emoji_set.png,4,"Mobile app, web dashboard, kiosk UI, empty state, notification, payment and QR flow"
location_permission_map,05_app_flow_registration_permissions/05_location_permission_map.png,05_app_flow_registration_permissions,"Permission: location request, pointing to map marker",cute_seal_mascot_emoji_set.png,5,"Mobile app, web dashboard, kiosk UI, empty state, notification, payment and QR flow"
location_denied_compass,05_app_flow_registration_permissions/06_location_denied_compass.png,05_app_flow_registration_permissions,"Permission: location denied, confused with compass",cute_seal_mascot_emoji_set.png,6,"Mobile app, web dashboard, kiosk UI, empty state, notification, payment and QR flow"
camera_permission_qr_scan,05_app_flow_registration_permissions/07_camera_permission_qr_scan.png,05_app_flow_registration_permissions,Permission: camera / QR scan guidance,cute_seal_mascot_emoji_set.png,7,"Mobile app, web dashboard, kiosk UI, empty state, notification, payment and QR flow"
camera_denied_cover_eye,05_app_flow_registration_permissions/08_camera_denied_cover_eye.png,05_app_flow_registration_permissions,"Permission: camera denied, covering eye",cute_seal_mascot_emoji_set.png,8,"Mobile app, web dashboard, kiosk UI, empty state, notification, payment and QR flow"
homepage_scan_guide,06_app_flow_home_outlet_promo_history/01_homepage_scan_guide.png,06_app_flow_home_outlet_promo_history,Homepage: first-time guide pointing to scan,cute_seals_with_app_themed_props.png,1,"Mobile app, web dashboard, kiosk UI, empty state, notification, payment and QR flow"
wallet_balance_helper,06_app_flow_home_outlet_promo_history/02_wallet_balance_helper.png,06_app_flow_home_outlet_promo_history,Homepage/wallet: balance helper with wallet,cute_seals_with_app_themed_props.png,2,"Mobile app, web dashboard, kiosk UI, empty state, notification, payment and QR flow"
empty_history_sitting,06_app_flow_home_outlet_promo_history/03_empty_history_sitting.png,06_app_flow_home_outlet_promo_history,"History: empty transaction, sitting casually",cute_seals_with_app_themed_props.png,3,"Mobile app, web dashboard, kiosk UI, empty state, notification, payment and QR flow"
outlet_nearby_pointer,06_app_flow_home_outlet_promo_history/04_outlet_nearby_pointer.png,06_app_flow_home_outlet_promo_history,Outlet: nearby outlet pointer,cute_seals_with_app_themed_props.png,4,"Mobile app, web dashboard, kiosk UI, empty state, notification, payment and QR flow"
outlet_busy_sweating,06_app_flow_home_outlet_promo_history/05_outlet_busy_sweating.png,06_app_flow_home_outlet_promo_history,"Outlet: busy outlet, sweating",cute_seals_with_app_themed_props.png,5,"Mobile app, web dashboard, kiosk UI, empty state, notification, payment and QR flow"
outlet_quiet_relaxed,06_app_flow_home_outlet_promo_history/06_outlet_quiet_relaxed.png,06_app_flow_home_outlet_promo_history,"Outlet: quiet outlet, relaxed",cute_seals_with_app_themed_props.png,6,"Mobile app, web dashboard, kiosk UI, empty state, notification, payment and QR flow"
promo_holding_voucher,06_app_flow_home_outlet_promo_history/07_promo_holding_voucher.png,06_app_flow_home_outlet_promo_history,Promo: holding voucher,cute_seals_with_app_themed_props.png,7,"Mobile app, web dashboard, kiosk UI, empty state, notification, payment and QR flow"
promo_empty_waiting,06_app_flow_home_outlet_promo_history/08_promo_empty_waiting.png,06_app_flow_home_outlet_promo_history,"Promo: no promo, waiting/reclining",cute_seals_with_app_themed_props.png,8,"Mobile app, web dashboard, kiosk UI, empty state, notification, payment and QR flow"
scan_qr_start,07_app_flow_scan_machine_payment/01_scan_qr_start.png,07_app_flow_scan_machine_payment,Scan QR: before starting scan,seal_mascots_and_washing_machine_scenarios.png,1,"Mobile app, web dashboard, kiosk UI, empty state, notification, payment and QR flow"
scan_qr_unreadable,07_app_flow_scan_machine_payment/02_scan_qr_unreadable.png,07_app_flow_scan_machine_payment,Scan QR: unreadable QR,seal_mascots_and_washing_machine_scenarios.png,2,"Mobile app, web dashboard, kiosk UI, empty state, notification, payment and QR flow"
machine_offline_cable,07_app_flow_scan_machine_payment/03_machine_offline_cable.png,07_app_flow_scan_machine_payment,Machine: offline / disconnected,seal_mascots_and_washing_machine_scenarios.png,3,"Mobile app, web dashboard, kiosk UI, empty state, notification, payment and QR flow"
machine_ready_thumbs_up,07_app_flow_scan_machine_payment/04_machine_ready_thumbs_up.png,07_app_flow_scan_machine_payment,"Machine: ready, thumbs up",seal_mascots_and_washing_machine_scenarios.png,4,"Mobile app, web dashboard, kiosk UI, empty state, notification, payment and QR flow"
machine_running_waiting,07_app_flow_scan_machine_payment/05_machine_running_waiting.png,07_app_flow_scan_machine_payment,"Machine: running / in use, waiting",seal_mascots_and_washing_machine_scenarios.png,5,"Mobile app, web dashboard, kiosk UI, empty state, notification, payment and QR flow"
machine_almost_finished_clock,07_app_flow_scan_machine_payment/06_machine_almost_finished_clock.png,07_app_flow_scan_machine_payment,"Machine: almost finished, checking clock",seal_mascots_and_washing_machine_scenarios.png,6,"Mobile app, web dashboard, kiosk UI, empty state, notification, payment and QR flow"
payment_processing_terminal,07_app_flow_scan_machine_payment/07_payment_processing_terminal.png,07_app_flow_scan_machine_payment,Payment: processing with terminal,seal_mascots_and_washing_machine_scenarios.png,7,"Mobile app, web dashboard, kiosk UI, empty state, notification, payment and QR flow"
payment_failed_receipt,07_app_flow_scan_machine_payment/08_payment_failed_receipt.png,07_app_flow_scan_machine_payment,"Payment: failed, panicking with receipt",seal_mascots_and_washing_machine_scenarios.png,8,"Mobile app, web dashboard, kiosk UI, empty state, notification, payment and QR flow"
payment_success_basket_confetti,08_notification_feedback_pack/01_payment_success_basket_confetti.png,08_notification_feedback_pack,Notification: payment success with basket and confetti,cheerful_seals_with_laundry_flair.png,1,"Mobile app, web dashboard, kiosk UI, empty state, notification, payment and QR flow"
machine_started_wave,08_notification_feedback_pack/02_machine_started_wave.png,08_notification_feedback_pack,"Notification: machine started, waving",cheerful_seals_with_laundry_flair.png,2,"Mobile app, web dashboard, kiosk UI, empty state, notification, payment and QR flow"
machine_50_percent_thumbs_up,08_notification_feedback_pack/03_machine_50_percent_thumbs_up.png,08_notification_feedback_pack,"Notification: machine 50 percent, thumbs up",cheerful_seals_with_laundry_flair.png,3,"Mobile app, web dashboard, kiosk UI, empty state, notification, payment and QR flow"
machine_90_percent_clean_shirt,08_notification_feedback_pack/04_machine_90_percent_clean_shirt.png,08_notification_feedback_pack,"Notification: machine 90 percent, ready with clothes",cheerful_seals_with_laundry_flair.png,4,"Mobile app, web dashboard, kiosk UI, empty state, notification, payment and QR flow"
machine_finished_bell,08_notification_feedback_pack/05_machine_finished_bell.png,08_notification_feedback_pack,"Notification: machine finished, ringing bell",cheerful_seals_with_laundry_flair.png,5,"Mobile app, web dashboard, kiosk UI, empty state, notification, payment and QR flow"
dryer_finished_towels,08_notification_feedback_pack/06_dryer_finished_towels.png,08_notification_feedback_pack,"Notification: dryer finished, carrying towels",cheerful_seals_with_laundry_flair.png,6,"Mobile app, web dashboard, kiosk UI, empty state, notification, payment and QR flow"
feedback_request_curious,08_notification_feedback_pack/07_feedback_request_curious.png,08_notification_feedback_pack,"Feedback: request feedback, curious",cheerful_seals_with_laundry_flair.png,7,"Mobile app, web dashboard, kiosk UI, empty state, notification, payment and QR flow"
feedback_submitted_thank_you,08_notification_feedback_pack/08_feedback_submitted_thank_you.png,08_notification_feedback_pack,"Feedback: submitted, thank you bow",cheerful_seals_with_laundry_flair.png,8,"Mobile app, web dashboard, kiosk UI, empty state, notification, payment and QR flow"
error_no_internet,09_error_kiosk_pack/01_error_no_internet.png,09_error_kiosk_pack,Error: no internet / lost signal,kawaii_seal_mascots_in_fun_activities.png,1,"Mobile app, web dashboard, kiosk UI, empty state, notification, payment and QR flow"
error_server_maintenance,09_error_kiosk_pack/02_error_server_maintenance.png,09_error_kiosk_pack,Error: server maintenance with toolbox,kawaii_seal_mascots_in_fun_activities.png,2,"Mobile app, web dashboard, kiosk UI, empty state, notification, payment and QR flow"
empty_page_sweeping,09_error_kiosk_pack/03_empty_page_sweeping.png,09_error_kiosk_pack,Empty state: sweeping empty page,kawaii_seal_mascots_in_fun_activities.png,3,"Mobile app, web dashboard, kiosk UI, empty state, notification, payment and QR flow"
error_404_lost,09_error_kiosk_pack/04_error_404_lost.png,09_error_kiosk_pack,Error: 404 page lost/confused,kawaii_seal_mascots_in_fun_activities.png,4,"Mobile app, web dashboard, kiosk UI, empty state, notification, payment and QR flow"
kiosk_idle_cleaning,09_error_kiosk_pack/05_kiosk_idle_cleaning.png,09_error_kiosk_pack,Kiosk: idle screen cleaning clothes,kawaii_seal_mascots_in_fun_activities.png,5,"Mobile app, web dashboard, kiosk UI, empty state, notification, payment and QR flow"
kiosk_fast_login_qr,09_error_kiosk_pack/06_kiosk_fast_login_qr.png,09_error_kiosk_pack,Kiosk: fast login QR,kawaii_seal_mascots_in_fun_activities.png,6,"Mobile app, web dashboard, kiosk UI, empty state, notification, payment and QR flow"
kiosk_guest_checkout,09_error_kiosk_pack/07_kiosk_guest_checkout.png,09_error_kiosk_pack,Kiosk: guest checkout welcoming,kawaii_seal_mascots_in_fun_activities.png,7,"Mobile app, web dashboard, kiosk UI, empty state, notification, payment and QR flow"
kiosk_pin_confirmation_security,09_error_kiosk_pack/08_kiosk_pin_confirmation_security.png,09_error_kiosk_pack,Kiosk: PIN confirmation / security,kawaii_seal_mascots_in_fun_activities.png,8,"Mobile app, web dashboard, kiosk UI, empty state, notification, payment and QR flow"
